"zip_code","latitude","longitude","city","state","county"
"98001",47.465495,"-121.821908","Auburn","WA","King"
"98002",47.315422,"-122.204230","Auburn","WA","King"
"98003",47.432251,"-121.803388","Federal Way","WA","King"
"98004",47.615471,"-122.207221","Bellevue","WA","King"
"98005",47.620471,"-122.178883","Bellevue","WA","King"
"98006",47.551771,"-122.144727","Bellevue","WA","King"
"98007",47.620152,"-122.142282","Bellevue","WA","King"
"98008",47.605867,"-122.111082","Bellevue","WA","King"
"98009",47.432251,"-121.803388","Bellevue","WA","King"
"98010",47.310568,"-121.998721","Black Diamond","WA","King"
"98011",47.750689,"-122.214376","Bothell","WA","King"
"98012",47.840068,"-122.197238","Bothell","WA","Snohomish"
"98013",47.432251,"-121.803388","Burton","WA","King"
"98014",47.661862,"-121.927236","Carnation","WA","King"
"98015",47.432251,"-121.803388","Bellevue","WA","King"
"98019",47.73459,"-121.931974","Duvall","WA","King"
"98020",47.806068,"-122.372401","Edmonds","WA","Snohomish"
"98021",47.794519,"-122.194276","Bothell","WA","Snohomish"
"98022",47.234107,"-121.903936","Enumclaw","WA","King"
"98023",47.775627,"-122.240337","Federal Way","WA","King"
"98024",47.483051,"-121.987813","Fall City","WA","King"
"98025",47.591564,"-122.056013","Hobart","WA","King"
"98026",47.835318,"-122.326981","Edmonds","WA","Snohomish"
"98027",47.497419,"-122.010699","Issaquah","WA","King"
"98028",47.754219,"-122.124643","Kenmore","WA","King"
"98029",47.565587,"-122.025754","Issaquah","WA","King"
"98031",47.379972,"-122.165380","Kent","WA","King"
"98032",47.432251,"-121.803388","Kent","WA","King"
"98033",47.673263,"-122.187029","Kirkland","WA","King"
"98034",47.725139,"-122.205646","Kirkland","WA","King"
"98035",47.432251,"-121.803388","Kent","WA","King"
"98036",47.804869,"-122.285481","Lynnwood","WA","Snohomish"
"98037",47.857022,"-122.283010","Lynnwood","WA","Snohomish"
"98038",47.409304,"-121.969445","Maple Valley","WA","King"
"98039",47.62692,"-122.231389","Medina","WA","King"
"98040",47.56025,"-122.228083","Mercer Island","WA","King"
"98041",47.432251,"-121.803388","Bothell","WA","King"
"98042",47.353456,"-122.091718","Kent","WA","King"
"98043",47.793269,"-122.307640","Mountlake Terrace","WA","Snohomish"
"98045",47.467224,"-121.687506","North Bend","WA","King"
"98046",48.037258,"-121.682271","Lynnwood","WA","Snohomish"
"98047",47.432251,"-121.803388","Pacific","WA","King"
"98050",47.536015,"-121.931195","Preston","WA","King"
"98051",47.274764,"-121.932232","Ravensdale","WA","King"
"98052",47.678756,"-122.121034","Redmond","WA","King"
"98053",47.648626,"-122.021060","Redmond","WA","King"
"98054",47.432251,"-121.803388","Redondo","WA","King"
"98055",47.485348,"-122.029670","Renton","WA","King"
"98056",47.514671,"-122.186447","Renton","WA","King"
"98057",47.432251,"-121.803388","Renton","WA","King"
"98058",47.432927,"-122.117999","Renton","WA","King"
"98059",47.505822,"-122.115699","Renton","WA","King"
"98061",47.680763,"-122.576199","Rollingbay","WA","Kitsap"
"98062",47.432251,"-121.803388","Seahurst","WA","King"
"98063",47.432251,"-121.803388","Federal Way","WA","King"
"98064",47.432251,"-121.803388","Kent","WA","King"
"98065",47.534473,"-121.816158","Snoqualmie","WA","King"
"98068",47.445171,"-121.431033","Snoqualmie Pass","WA","King"
"98070",47.432251,"-121.803388","Vashon","WA","King"
"98071",47.432251,"-121.803388","Auburn","WA","King"
"98072",47.740741,"-122.090874","Woodinville","WA","King"
"98073",47.432251,"-121.803388","Redmond","WA","King"
"98074",,,"Sammamish","WA","King"
"98075",,,"Sammamish","WA","King"
"98082",47.432251,"-121.803388","Bothell","WA","Snohomish"
"98083",47.432251,"-121.803388","Kirkland","WA","King"
"98092",47.288362,"-122.097976","Auburn","WA","King"
"98093",47.311041,"-122.113791","Federal Way","WA","King"
"98101",47.432251,"-121.803388","Seattle","WA","King"
"98102",47.432251,"-121.803388","Seattle","WA","King"
"98103",47.432251,"-121.803388","Seattle","WA","King"
"98104",47.432251,"-121.803388","Seattle","WA","King"
"98105",47.432251,"-121.803388","Seattle","WA","King"
"98106",47.432251,"-121.803388","Seattle","WA","King"
"98107",47.432251,"-121.803388","Seattle","WA","King"
"98108",47.432251,"-121.803388","Seattle","WA","King"
"98109",47.583868,"-122.052333","Seattle","WA","King"
"98110",47.647774,"-122.538016","Bainbridge Island","WA","Kitsap"
"98111",47.432251,"-121.803388","Seattle","WA","King"
"98112",47.432251,"-121.803388","Seattle","WA","King"
"98114",47.432251,"-121.803388","Seattle","WA","King"
"98115",47.432251,"-121.803388","Seattle","WA","King"
"98116",47.432251,"-121.803388","Seattle","WA","King"
"98117",47.432251,"-121.803388","Seattle","WA","King"
"98118",47.432251,"-121.803388","Seattle","WA","King"
"98119",47.432251,"-121.803388","Seattle","WA","King"
"98121",47.432251,"-121.803388","Seattle","WA","King"
"98122",47.432251,"-121.803388","Seattle","WA","King"
"98124",47.432251,"-121.803388","Seattle","WA","King"
"98125",47.432251,"-121.803388","Seattle","WA","King"
"98126",47.432251,"-121.803388","Seattle","WA","King"
"98129",47.432251,"-121.803388","Seattle","WA","King"
"98131",47.432251,"-121.803388","Seattle","WA","King"
"98132",47.432251,"-121.803388","Seattle","WA","King"
"98133",47.432251,"-121.803388","Seattle","WA","King"
"98134",47.432251,"-121.803388","Seattle","WA","King"
"98136",47.432251,"-121.803388","Seattle","WA","King"
"98138",47.432251,"-121.803388","Seattle","WA","King"
"98144",47.432251,"-121.803388","Seattle","WA","King"
"98145",47.432251,"-121.803388","Seattle","WA","King"
"98146",47.432251,"-121.803388","Seattle","WA","King"
"98148",47.432251,"-121.803388","Seattle","WA","King"
"98151",47.432251,"-121.803388","Seattle","WA","King"
"98154",47.432251,"-121.803388","Seattle","WA","King"
"98155",47.767169,"-122.259737","Seattle","WA","King"
"98158",47.432251,"-121.803388","Seattle","WA","King"
"98160",47.432251,"-121.803388","Seattle","WA","King"
"98161",47.432251,"-121.803388","Seattle","WA","King"
"98164",47.432251,"-121.803388","Seattle","WA","King"
"98166",47.432251,"-121.803388","Seattle","WA","King"
"98168",47.432251,"-121.803388","Seattle","WA","King"
"98170",,,"Seattle","WA","King"
"98171",47.432251,"-121.803388","Seattle","WA","King"
"98174",47.432251,"-121.803388","Seattle","WA","King"
"98177",47.432251,"-121.803388","Seattle","WA","King"
"98178",47.492385,"-122.235856","Seattle","WA","King"
"98181",47.432251,"-121.803388","Seattle","WA","King"
"98184",47.432251,"-121.803388","Seattle","WA","King"
"98185",47.432251,"-121.803388","Seattle","WA","King"
"98188",47.432251,"-121.803388","Seattle","WA","King"
"98190",47.432251,"-121.803388","Seattle","WA","King"
"98191",47.432251,"-121.803388","Seattle","WA","King"
"98195",47.432251,"-121.803388","Seattle","WA","King"
"98198",47.432251,"-121.803388","Seattle","WA","King"
"98199",47.776875,"-122.264256","Seattle","WA","King"
"98201",47.988661,"-122.199795","Everett","WA","Snohomish"
"98203",47.946017,"-122.231795","Everett","WA","Snohomish"
"98204",47.899696,"-122.255522","Everett","WA","Snohomish"
"98205",47.953523,"-122.123325","Everett","WA","Snohomish"
"98206",47.859918,"-122.284785","Everett","WA","Snohomish"
"98207",48.037258,"-121.682271","Everett","WA","Snohomish"
"98208",47.897284,"-122.190392","Everett","WA","Snohomish"
"98220",48.688554,"-122.186966","Acme","WA","Whatcom"
"98221",48.499172,"-122.607111","Anacortes","WA","Skagit"
"98222",48.610644,"-122.921551","Blakely Island","WA","San Juan"
"98223",48.181498,"-121.959469","Arlington","WA","Snohomish"
"98224",47.767103,"-121.481395","Baring","WA","King"
"98225",48.747687,"-122.454297","Bellingham","WA","Whatcom"
"98226",48.768396,"-122.486483","Bellingham","WA","Whatcom"
"98227",48.814753,"-121.988548","Bellingham","WA","Whatcom"
"98228",48.814753,"-121.988548","Bellingham","WA","Whatcom"
"98230",48.935767,"-122.366448","Blaine","WA","Whatcom"
"98231",48.814753,"-121.988548","Blaine","WA","Whatcom"
"98232",48.565955,"-122.448358","Bow","WA","Skagit"
"98233",48.533616,"-122.362337","Burlington","WA","Skagit"
"98235",48.470099,"-122.238754","Clearlake","WA","Skagit"
"98236",47.956934,"-122.417721","Clinton","WA","Island"
"98237",48.508868,"-121.697178","Concrete","WA","Skagit"
"98238",48.340002,"-122.345571","Conway","WA","Skagit"
"98239",48.1894,"-122.667650","Coupeville","WA","Island"
"98240",48.941068,"-122.625235","Custer","WA","Whatcom"
"98241",48.239542,"-121.589209","Darrington","WA","Snohomish"
"98243",48.557824,"-122.983742","Deer Harbor","WA","San Juan"
"98244",48.80177,"-122.091834","Deming","WA","Whatcom"
"98245",48.659128,"-122.867603","Eastsound","WA","San Juan"
"98247",48.904384,"-122.321834","Everson","WA","Whatcom"
"98248",48.861113,"-122.608561","Ferndale","WA","Whatcom"
"98249",48.019581,"-122.540489","Freeland","WA","Island"
"98250",48.538181,"-123.068323","Friday Harbor","WA","San Juan"
"98251",47.833114,"-121.636528","Gold Bar","WA","Snohomish"
"98252",48.074894,"-121.798489","Granite Falls","WA","Snohomish"
"98253",48.100424,"-122.576120","Greenbank","WA","Island"
"98255",48.525461,"-121.988700","Hamilton","WA","Skagit"
"98256",47.81179,"-121.549712","Index","WA","Snohomish"
"98257",48.414123,"-122.508364","La Conner","WA","Skagit"
"98258",48.046751,"-122.056379","Lake Stevens","WA","Snohomish"
"98259",48.037258,"-121.682271","North Lakewood","WA","Snohomish"
"98260",48.031815,"-122.458831","Langley","WA","Island"
"98261",48.498773,"-122.874334","Lopez Island","WA","San Juan"
"98262",48.713022,"-122.676470","Lummi Island","WA","Whatcom"
"98263",48.534462,"-122.058644","Lyman","WA","Skagit"
"98264",48.932328,"-122.436249","Lynden","WA","Whatcom"
"98266",48.853213,"-122.247881","Maple Falls","WA","Whatcom"
"98267",48.537813,"-121.473840","Marblemount","WA","Skagit"
"98270",48.049576,"-122.161951","Marysville","WA","Snohomish"
"98271",48.079149,"-122.234168","Marysville","WA","Snohomish"
"98272",47.863149,"-121.884330","Monroe","WA","Snohomish"
"98273",48.435248,"-122.208184","Mount Vernon","WA","Skagit"
"98274",48.364253,"-122.140311","Mount Vernon","WA","Skagit"
"98275",47.912402,"-122.302114","Mukilteo","WA","Snohomish"
"98276",48.834208,"-122.335734","Nooksack","WA","Whatcom"
"98277",48.319858,"-122.629353","Oak Harbor","WA","Island"
"98278",48.310127,"-122.655862","Oak Harbor","WA","Island"
"98279",48.557824,"-122.983742","Olga","WA","San Juan"
"98280",48.590114,"-122.940972","Orcas","WA","San Juan"
"98281",48.987386,"-123.058243","Point Roberts","WA","Whatcom"
"98282",,,"Camano Island","WA","Island"
"98283",48.428261,"-121.609872","Rockport","WA","Skagit"
"98284",48.486147,"-122.137243","Sedro Woolley","WA","Skagit"
"98286",48.557824,"-122.983742","Shaw Island","WA","San Juan"
"98287",48.037258,"-121.682271","Silvana","WA","Snohomish"
"98288",47.722245,"-121.369352","Skykomish","WA","King"
"98290",47.954558,"-122.014722","Snohomish","WA","Snohomish"
"98291",47.909511,"-122.050108","Snohomish","WA","Snohomish"
"98292",48.080148,"-122.106400","Stanwood","WA","Snohomish"
"98293",47.870275,"-121.768490","Startup","WA","Snohomish"
"98294",47.869494,"-121.731275","Sultan","WA","Snohomish"
"98295",48.953377,"-122.198860","Sumas","WA","Whatcom"
"98296",47.857915,"-122.092025","Snohomish","WA","Snohomish"
"98297",48.557824,"-122.983742","Waldron","WA","San Juan"
"98303",47.156263,"-122.706706","Anderson Island","WA","Pierce"
"98304",46.752611,"-122.055170","Ashford","WA","Pierce"
"98305",48.006094,"-124.360572","Beaver","WA","Clallam"
"98310",47.606478,"-122.634712","Bremerton","WA","Kitsap"
"98311",47.627129,"-122.637276","Bremerton","WA","Kitsap"
"98312",47.578921,"-122.798590","Bremerton","WA","Kitsap"
"98314",47.559317,"-122.649150","Bremerton","WA","Kitsap"
"98315",47.690048,"-122.712678","Silverdale","WA","Kitsap"
"98320",47.698291,"-122.943809","Brinnon","WA","Jefferson"
"98321",47.152347,"-122.079177","Buckley","WA","Pierce"
"98322",47.687971,"-122.729304","Burley","WA","Kitsap"
"98323",47.05221,"-122.025502","Carbonado","WA","Pierce"
"98324",48.18315,"-123.872972","Carlsborg","WA","Clallam"
"98325",47.915272,"-122.815701","Chimacum","WA","Jefferson"
"98326",48.199745,"-124.390233","Clallam Bay","WA","Clallam"
"98327",47.090904,"-122.656691","Dupont","WA","Pierce"
"98328",46.904844,"-122.301410","Eatonville","WA","Pierce"
"98329",47.369501,"-122.715346","Gig Harbor","WA","Pierce"
"98330",46.777707,"-122.202297","Elbe","WA","Pierce"
"98331",47.976301,"-124.369332","Forks","WA","Clallam"
"98332",47.363745,"-122.603703","Gig Harbor","WA","Pierce"
"98333",47.248013,"-122.628989","Fox Island","WA","Pierce"
"98335",47.293619,"-122.623504","Gig Harbor","WA","Pierce"
"98336",46.53912,"-122.100372","Glenoma","WA","Lewis"
"98337",47.568617,"-122.637350","Bremerton","WA","Kitsap"
"98338",46.96608,"-122.384322","Graham","WA","Pierce"
"98339",47.955331,"-122.791259","Port Hadlock","WA","Jefferson"
"98340",47.868952,"-122.557486","Hansville","WA","Kitsap"
"98342",47.753544,"-122.566561","Indianola","WA","Kitsap"
"98343",48.18315,"-123.872972","Joyce","WA","Clallam"
"98344",46.989916,"-122.222642","Kapowsin","WA","Pierce"
"98345",47.698025,"-122.625529","Keyport","WA","Kitsap"
"98346",47.834483,"-122.547078","Kingston","WA","Kitsap"
"98348",47.066193,"-122.113223","La Grande","WA","Pierce"
"98349",47.288589,"-122.777592","Lakebay","WA","Pierce"
"98350",47.905203,"-124.626080","La Push","WA","Clallam"
"98351",47.207364,"-122.772012","Longbranch","WA","Pierce"
"98352",47.066193,"-122.113223","Sumner","WA","Pierce"
"98353",47.595155,"-122.622513","Manchester","WA","Kitsap"
"98354",47.245769,"-122.311073","Milton","WA","Pierce"
"98355",46.713843,"-122.093813","Mineral","WA","Lewis"
"98356",46.591038,"-122.068418","Morton","WA","Lewis"
"98357",48.327961,"-124.615051","Neah Bay","WA","Clallam"
"98358",48.057776,"-122.691213","Nordland","WA","Jefferson"
"98359",47.435986,"-122.580554","Olalla","WA","Kitsap"
"98360",47.006578,"-122.118676","Orting","WA","Pierce"
"98361",46.621697,"-121.652807","Packwood","WA","Lewis"
"98362",48.051108,"-123.360411","Port Angeles","WA","Clallam"
"98363",48.055733,"-123.917840","Port Angeles","WA","Clallam"
"98364",47.834431,"-122.592763","Port Gamble","WA","Kitsap"
"98365",47.911892,"-122.709606","Port Ludlow","WA","Jefferson"
"98366",47.542664,"-122.587102","Port Orchard","WA","Kitsap"
"98367",47.470651,"-122.650972","Port Orchard","WA","Kitsap"
"98368",48.018572,"-122.849683","Port Townsend","WA","Jefferson"
"98370",47.751046,"-122.614094","Poulsbo","WA","Kitsap"
"98371",47.212822,"-122.317148","Puyallup","WA","Pierce"
"98372",47.197581,"-122.162076","Puyallup","WA","Pierce"
"98373",47.145817,"-122.309704","Puyallup","WA","Pierce"
"98374",47.139095,"-122.258646","Puyallup","WA","Pierce"
"98375",47.098845,"-122.363930","Puyallup","WA","Pierce"
"98376",47.828495,"-122.838769","Quilcene","WA","Jefferson"
"98377",46.516754,"-121.894411","Randle","WA","Lewis"
"98378",47.687971,"-122.729304","Retsil","WA","Kitsap"
"98380",47.591261,"-122.868581","Seabeck","WA","Kitsap"
"98381",48.288633,"-124.397803","Sekiu","WA","Clallam"
"98382",48.06773,"-123.080362","Sequim","WA","Clallam"
"98383",47.672498,"-122.707982","Silverdale","WA","Kitsap"
"98384",47.521803,"-122.539637","South Colby","WA","Kitsap"
"98385",47.138271,"-122.096799","South Prairie","WA","Pierce"
"98386",47.51037,"-122.499139","Southworth","WA","Kitsap"
"98387",47.058452,"-122.416480","Spanaway","WA","Pierce"
"98388",47.132671,"-122.331781","Steilacoom","WA","Pierce"
"98390",47.176966,"-122.159820","Sumner","WA","Pierce"
"98392",47.732624,"-122.564557","Suquamish","WA","Kitsap"
"98393",47.626717,"-122.649953","Tracyton","WA","Kitsap"
"98394",47.311117,"-122.772503","Vaughn","WA","Pierce"
"98395",47.266017,"-122.832799","Wauna","WA","Pierce"
"98396",47.109524,"-122.037015","Wilkeson","WA","Pierce"
"98397",47.066193,"-122.113223","Longmire","WA","Pierce"
"98398",47.066193,"-122.113223","Paradise Inn","WA","Pierce"
"98401",47.253671,"-122.444335","Tacoma","WA","Pierce"
"98402",47.261502,"-122.463308","Tacoma","WA","Pierce"
"98403",47.265371,"-122.457087","Tacoma","WA","Pierce"
"98404",47.209131,"-122.397929","Tacoma","WA","Pierce"
"98405",47.247871,"-122.472793","Tacoma","WA","Pierce"
"98406",47.259216,"-122.509235","Tacoma","WA","Pierce"
"98407",47.287606,"-122.500486","Tacoma","WA","Pierce"
"98408",47.206871,"-122.448534","Tacoma","WA","Pierce"
"98409",47.205777,"-122.321095","Tacoma","WA","Pierce"
"98411",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98412",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98413",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98415",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98416",47.264577,"-122.482076","Tacoma","WA","Pierce"
"98418",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98421",47.254021,"-122.400133","Tacoma","WA","Pierce"
"98422",47.283379,"-122.388781","Tacoma","WA","Pierce"
"98424",47.232513,"-122.359432","Tacoma","WA","Pierce"
"98430",47.066193,"-122.113223","Camp Murray","WA","Pierce"
"98431",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98433",47.126735,"-122.491749","Tacoma","WA","Pierce"
"98438",47.151297,"-122.567631","Mcchord Afb","WA","Pierce"
"98439",47.128671,"-122.510316","Lakewood","WA","Pierce"
"98442",47.308061,"-122.418495","Tacoma","WA","Pierce"
"98443",47.207371,"-122.373466","Tacoma","WA","Pierce"
"98444",47.146371,"-122.457172","Tacoma","WA","Pierce"
"98445",47.129145,"-122.409355","Tacoma","WA","Pierce"
"98446",47.128485,"-122.373631","Tacoma","WA","Pierce"
"98447",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98450",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98455",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98460",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98464",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98465",47.254749,"-122.530336","Tacoma","WA","Pierce"
"98466",47.243075,"-122.539360","Tacoma","WA","Pierce"
"98467",47.18717,"-122.532335","University Place","WA","Pierce"
"98471",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98477",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98481",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98492",47.066193,"-122.113223","Lakewood","WA","Pierce"
"98493",47.066193,"-122.113223","Tacoma","WA","Pierce"
"98497",47.066193,"-122.113223","Lakewood","WA","Pierce"
"98498",47.159149,"-122.548486","Lakewood","WA","Pierce"
"98499",47.16772,"-122.502360","Lakewood","WA","Pierce"
"98501",46.984767,"-122.869079","Olympia","WA","Thurston"
"98502",47.104269,"-123.055153","Olympia","WA","Thurston"
"98503",47.026418,"-122.796695","Lacey","WA","Thurston"
"98504",46.978118,"-122.702393","Olympia","WA","Thurston"
"98505",47.065404,"-122.976187","Olympia","WA","Thurston"
"98506",47.104227,"-122.870043","Olympia","WA","Thurston"
"98507",46.978118,"-122.702393","Olympia","WA","Thurston"
"98508",46.978118,"-122.702393","Olympia","WA","Thurston"
"98509",46.978118,"-122.702393","Lacey","WA","Thurston"
"98511",,,"Tumwater","WA","Thurston"
"98512",46.949776,"-123.021207","Olympia","WA","Thurston"
"98513",46.993897,"-122.743016","Olympia","WA","Thurston"
"98516",47.112575,"-122.779419","Olympia","WA","Thurston"
"98520",47.002735,"-123.671290","Aberdeen","WA","Grays Harbor"
"98522",46.571323,"-123.298384","Adna","WA","Lewis"
"98524",47.322429,"-122.984003","Allyn","WA","Mason"
"98526",47.485913,"-123.920555","Amanda Park","WA","Grays Harbor"
"98527",46.637057,"-123.884996","Bay Center","WA","Pacific"
"98528",47.432465,"-122.928877","Belfair","WA","Mason"
"98530",46.798216,"-122.871798","Bucoda","WA","Thurston"
"98531",46.713822,"-123.010460","Centralia","WA","Lewis"
"98532",46.615653,"-123.024845","Chehalis","WA","Lewis"
"98533",46.579292,"-122.568709","Cinebar","WA","Lewis"
"98535",47.149086,"-124.139665","Copalis Beach","WA","Grays Harbor"
"98536",47.159136,"-124.135203","Copalis Crossing","WA","Grays Harbor"
"98537",46.878164,"-123.645390","Cosmopolis","WA","Grays Harbor"
"98538",46.495639,"-123.146764","Curtis","WA","Lewis"
"98539",46.637834,"-123.280421","Doty","WA","Lewis"
"98540",46.978118,"-122.702393","East Olympia","WA","Thurston"
"98541",47.16,"-123.736287","Elma","WA","Grays Harbor"
"98542",46.530022,"-122.724004","Ethel","WA","Lewis"
"98544",46.734909,"-123.025360","Galvin","WA","Lewis"
"98546",47.327254,"-122.916256","Grapeview","WA","Mason"
"98547",46.826407,"-124.094009","Grayland","WA","Grays Harbor"
"98548",47.446972,"-123.198634","Hoodsport","WA","Mason"
"98550",47.101202,"-123.731611","Hoquiam","WA","Grays Harbor"
"98552",47.342898,"-123.929112","Humptulips","WA","Grays Harbor"
